loyalty_id,customer_id,order_id,points_earned,points_redeemed
LOY000001,C00023,ORD000001,194,0
LOY000002,C00013,ORD000002,100,0
LOY000003,C00031,ORD000003,138,50
LOY000004,C00032,ORD000004,110,100
LOY000005,C00033,ORD000005,176,0
LOY000006,C00032,ORD000006,58,50
LOY000007,C00014,ORD000007,145,50
LOY000008,C00032,ORD000008,-92,0
LOY000009,C00004,ORD000009,120,100
LOY000010,C00018,ORD000010,-116,0
LOY000011,C00014,ORD000011,20,0
LOY000012,C00019,ORD000012,84,50
LOY000013,C00003,ORD000013,-27,0
